id,name,region,subregion_or_pdo_pgi,cultivars,harvest_year,category,color,fruitiness_intensity,bitterness_intensity,pungency_intensity,aroma_notes,taste_notes,defects,processing,filtration,acidity_pct,awards,description
INT-000697,Laconian Peaks • O'Higgins,O'Higgins,Maule,Picual,2024.0073611726602,EVOO,bright green,7.1607230110227915,4.979065255365002,5.648461019189428,green banana;wild herbs;chicory,gentle bitterness;clean;long aftertaste,none,"two-phase mill, cold",unfiltered,0.27432209394066126,—,"Athinolia brings elegance and floral notes, softened by Koroneiki; versatile everyday oil."
INT-000668,Laconian Peaks • La Rioja,La Rioja,Catamarca,Arbosana,2024.0542775874123,EVOO,bright green,7.21346751226116,5.418374308781628,5.310025523893874,green banana;wild herbs;chicory,gentle bitterness;clean;long aftertaste,none,"two-phase mill, cold",unfiltered,0.32712961897549164,—,"Athinolia brings elegance and floral notes, softened by Koroneiki; versatile everyday oil."
INT-000064,Zakynthos Grove • Napa,Napa,Sonoma,Chemlali,2024.0045282896367,EVOO,green,6.949762008039173,4.649322805469946,5.942221734640268,green banana;parsley;pepper leaf,fresh;medium body;clean heat,none,two-phase,unfiltered,0.3282200288323801,—,Lively island Koroneiki with green banana and clean peppery lift.
INT-000534,Argolic Breeze • Wairarapa,Wairarapa,Hawke's Bay,Coratina,2024.1032069850557,EVOO,golden-green,5.252953888930562,3.5184506527499573,4.001522847309144,ripe apple;pear;chamomile,mild;buttery;light pepper,none,cold-extracted <27°C,filtered,0.3625206001763924,—,Classic Manaki with mild bitterness and delicate aromas; great for baking and white cheeses.
INT-000067,Mytilene Estate • Victoria,Victoria,South Australia,Coratina,2023.8982039576294,EVOO,golden-green,6.219130117986753,3.978383386762971,4.09104454711293,ripe tomato;oregano;dried fig,rounded;pleasant;light pepper,none,"two-phase, cold",filtered,0.3604190106458874,—,Classically soft Kolovi suitable for mild salads.
INT-000622,Laconian Peaks • Taza,Taza,Fès-Meknès,Cornicabra,2024.0526559146535,EVOO,bright green,6.6309489802181005,4.474284030611726,6.011972858667669,green banana;wild herbs;chicory,gentle bitterness;clean;long aftertaste,none,"two-phase mill, cold",unfiltered,0.2801168871139226,—,"Athinolia brings elegance and floral notes, softened by Koroneiki; versatile everyday oil."
INT-000347,Laconian Peaks • Irbid,Irbid,Irbid,Taggiasca,2023.9387815313776,EVOO,bright green,6.866727879401036,4.786830661409761,5.836045360307536,green banana;wild herbs;chicory,gentle bitterness;clean;long aftertaste,none,"two-phase mill, cold",unfiltered,0.324897133109635,—,"Athinolia brings elegance and floral notes, softened by Koroneiki; versatile everyday oil."
INT-000491,Arcadian Orchard • Extremadura,Extremadura,Valencia,Coratina,2024.003560164037,EVOO,golden,6.332553422635918,4.24997314510107,4.05376382109314,ripe pear;chamomile;almond,buttery;gentle bitterness,none,cold extraction,filtered,0.39083348577121746,—,Approachable blend suited for everyday cooking and baking.
INT-000761,Nestos Riverbank • Ajloun,Ajloun,Ajloun,Arbosana,2023.9697869472252,EVOO,green,7.048345150426791,5.098320132978885,7.550210668459252,green tomato;rocket;peppercorn,firm;spicy;clean finish,none,"cold, inert gas",filtered,0.2590142399780986,—,Thracian blend with zesty tomato‑leaf and spicy finish.
INT-000457,Arcadian Orchard • Mendoza,Mendoza,Mendoza,Frantoio,2023.9782693244304,EVOO,golden,5.9825973942831165,3.9385280019262705,5.437229205382094,ripe pear;chamomile;almond,buttery;gentle bitterness,none,cold extraction,filtered,0.3925063307433292,—,Approachable blend suited for everyday cooking and baking.
INT-000066,Saronic Shores • Ajloun,Ajloun,Ajloun,Mission,2024.0631028119356,EVOO,golden-green,6.504878265278699,3.775775157677339,5.1370255849479705,ripe apple;herbs;almond,smooth;gentle bitterness,none,cold extraction,filtered,0.3423649461327673,—,"Attica blend, approachable and smooth for everyday use."
INT-000287,Messinian Classic • Tuscany,Tuscany,Liguria,Hojiblanca,2024.0278052909773,EVOO,green-gold,7.445162683200314,5.774009730566035,6.7976216070299404,artichoke;arugula;green almond,assertive;peppery;structured,none,cold-extracted,filtered,0.21715025884848244,—,Quintessential Messinian Koroneiki; assertive but balanced; for red sauces and grills.
INT-000636,Argolic Breeze • Mendoza,Mendoza,Catamarca,Taggiasca,2023.988123897746,EVOO,golden-green,6.374359304981004,2.8,3.9828246075087432,ripe apple;pear;chamomile,mild;buttery;light pepper,none,cold-extracted <27°C,filtered,0.35295332850406197,—,Classic Manaki with mild bitterness and delicate aromas; great for baking and white cheeses.
INT-000068,Nestos Riverbank • Marrakech-Safi,Marrakech-Safi,Taza,Cornicabra,2023.9852334533084,EVOO,green,7.253173170332166,4.622822781549789,7.006888713174292,green tomato;rocket;peppercorn,firm;spicy;clean finish,none,"cold, inert gas",filtered,0.28768499518351887,—,Thracian blend with zesty tomato‑leaf and spicy finish.
INT-000328,Arcadian Orchard • Akkar,Akkar,Koura,Chemlali,2023.9585361634756,EVOO,golden,5.855774978304434,3.613964653755415,3.726712756149033,ripe pear;chamomile;almond,buttery;gentle bitterness,none,cold extraction,filtered,0.3584508966835433,—,Approachable blend suited for everyday cooking and baking.
INT-000396,Saronic Shores • Tuscany,Tuscany,Puglia,Taggiasca,2024.0212003995407,EVOO,golden-green,6.183491254502369,4.193147175608725,4.746848870560958,ripe apple;herbs;almond,smooth;gentle bitterness,none,cold extraction,filtered,0.3007363853574673,—,"Attica blend, approachable and smooth for everyday use."
INT-000245,Zakynthos Grove • Wairarapa,Wairarapa,Hawke's Bay,Leccino,2024.0482733779345,EVOO,green,6.983611210119957,5.187977506116585,5.619417730220291,green banana;parsley;pepper leaf,fresh;medium body;clean heat,none,two-phase,unfiltered,0.33509091697372684,—,Lively island Koroneiki with green banana and clean peppery lift.
INT-000378,Zakynthos Grove • La Rioja,La Rioja,Catamarca,Taggiasca,2024.056756992178,EVOO,green,7.693688200109671,5.157142140837374,5.505919683107813,green banana;parsley;pepper leaf,fresh;medium body;clean heat,none,two-phase,unfiltered,0.3488309623752581,—,Lively island Koroneiki with green banana and clean peppery lift.
INT-000611,Corfiot Lianolia • Wairarapa,Wairarapa,Hawke's Bay,Mission,2024.008227597234,EVOO,green-gold,7.353563885410713,4.191536293558495,5.290651171343403,green walnut;wild fennel;apple skin,silky;fresh;medium pepper,none,cold-extracted,filtered,0.34597387815115316,—,Elegant Corfiot oil with herbal lift; shines on steamed vegetables and fish.
INT-000527,Arcadian Orchard • Catamarca,Catamarca,Catamarca,Manzanilla,2024.0307257985535,EVOO,golden,5.792372250269973,4.116255059308211,3.84583929357251,ripe pear;chamomile;almond,buttery;gentle bitterness,none,cold extraction,filtered,0.4023637851806963,—,Approachable blend suited for everyday cooking and baking.
INT-000659,Nestos Riverbank • New South Wales,New South Wales,Victoria,Coratina,2024.0036927663277,EVOO,green,7.020180023252646,5.2104033634705225,6.866372991857146,green tomato;rocket;peppercorn,firm;spicy;clean finish,none,"cold, inert gas",filtered,0.254356177124692,—,Thracian blend with zesty tomato‑leaf and spicy finish.
INT-000530,Tsounati Mountain • Napa,Napa,Sacramento Valley,Leccino,2023.982090318076,EVOO,deep green,8.464658949906402,5.421084284185609,7.660302032589965,wild greens;artichoke;oregano,bold bitterness;strong pepper,none,"cold extraction, two-phase",unfiltered,0.2714298876264329,—,Mountain Tsounati with intense pepper and wild herb character.
INT-000623,Saronic Shores • La Rioja,La Rioja,Mendoza,Barnea,2023.9748615953463,EVOO,golden-green,6.287873385102427,4.088304208111172,5.190413063560305,ripe apple;herbs;almond,smooth;gentle bitterness,none,cold extraction,filtered,0.3375946001119322,—,"Attica blend, approachable and smooth for everyday use."
INT-000722,Nestos Riverbank • South Australia,South Australia,Victoria,Arbequina,2023.9896157844398,EVOO,green,7.869558364153836,4.5527204405098365,7.473300609143051,green tomato;rocket;peppercorn,firm;spicy;clean finish,none,"cold, inert gas",filtered,0.2526048547977522,—,Thracian blend with zesty tomato‑leaf and spicy finish.
INT-000361,Lesvos Hills • Kairouan,Kairouan,Sousse,Arbosana,2023.957180038,EVOO,golden,5.708898545074461,3.8131097684851736,3.879409969376032,ripe tomato;dried herbs;almond,soft;rounded;subtle heat,none,"two-phase, cold",filtered,0.4226512557572716,—,Gentle island blend with ripe fruit notes; friendly for desserts and light sautés.
INT-000031,Peloponnesian Grove • O'Higgins,O'Higgins,Colchagua,Leccino,2023.9494775998228,EVOO,deep green-gold,7.623209941550563,6.097290293999816,6.739644181119181,green apple;fresh-cut grass;tomato leaf;artichoke,balanced;slightly peppery;almond finish,none,cold-extracted <27°C,filtered,0.2775438958711843,—,Koroneiki from Messinia with bright green fruitiness and a peppery finish; ideal for salads and grilled fish.
INT-000261,Kefalonian Bay • Languedoc,Languedoc,Corsica,Frantoio,2024.0904533746198,EVOO,golden-green,6.127696442213439,4.062596008368228,4.684805143398567,ripe apple;oregano;almond,round;mildly peppery,none,cold extraction,filtered,0.3364281813878115,—,Island blend leaning ripe and round; table‑friendly and forgiving.
